stop_id,stop_code,stop_name,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station
256,,Gilbert Ave and Tumble Brook Rd,41.667275,-72.666138,,,,
257,,Kitts Ln and Stop and Shop,41.682193,-72.70929,,,,
258,,Pascone Pl and Berlin Tpke,41.666492,-72.72024,,,,
259,,Conn DOT and Opp Berlin Tpke,41.673019,-72.713854,,,,
260,,S Main St and Burlington Rd,41.745666,-72.888174,,,,
261,,Plainville Ave and Lake Garda Dr,41.739329,-72.891305,,,,
263,,Plainville Ave and Morea Rd,41.719197,-72.88343,,,,
264,,Plainville Ave and Cope Farms Rd,41.715757,-72.882011,,,,
266,,Ellsworth Rd and Lasalle Rd,41.758371,-72.744229,,,,
269,,Farmington Ave and Raymond Rd,41.762515,-72.7395,,,,
270,,Reservoir Ave and Opp Arnold Way,41.763058,-72.737149,,,,
271,,Farmington Ave and Outlook Ave,41.763397,-72.735356,,,,
272,,Farmington Ave and Westfield Rd,41.763949,-72.732447,,,,
273,,Reservoir Ave and Lancaster Rd,41.764332,-72.730448,,,,
274,,Farmington Ave and Quaker Ln S,41.764625,-72.728776,,,,
275,,Farmington Ave and Walkley Rd,41.764793,-72.726546,,,,
276,,Farmington Ave and Whiting Ln,41.764953,-72.724669,,,,
277,,Farmington Ave and Arnoldale Rd,41.765085,-72.723021,,,,
278,,Reservoir Ave and Lexington Rd,41.765235,-72.72038,,,,
279,,Farmington Ave and Highland St S,41.765376,-72.718308,,,,
281,,Farmington Ave and Oxford St,41.765784,-72.713764,,,,
283,,Farmington Ave and S Whitney St,41.766112,-72.711159,,,,
285,,Farmington Ave and Opp Girard Ave,41.766458,-72.708299,,,,
287,,Farmington Ave and Denison St,41.766786,-72.705815,,,,
289,,Webster Hill Blvd and Cassilis Rd,41.739913,-72.739916,,,,
290,,Webster Hill Blvd and Ledgewood Rd,41.742005,-72.74041,,,,
291,,Webster Hill Blvd and Greystone Rd,41.74406,-72.740613,,,,
292,,Webster Hill Blvd and Rockledge Dr,41.745544,-72.740769,,,,
293,,Webster Hill Blvd and Crestwood Rd,41.747671,-72.741057,,,,
294,,Webster Hill Blvd and 50 Webster Hill Blvd,41.749057,-72.741624,,,,
295,,Webster Hill Blvd and 16 Webster Hill Blvd,41.751087,-72.743378,,,,
296,,S Main St and C V S,41.752195,-72.743813,,,,
297,,S Main St and Thomson Rd,41.754063,-72.74375,,,,
298,,S Main St and Boulevard,41.756002,-72.743699,,,,
300,,S Main St and Memorial Rd,41.759263,-72.742169,,,,
301,,Farmington Ave and Broad St,41.768053,-72.686271,,,,
302,,Farmington Ave and Mountain Rd,41.755165,-72.764316,,,,
303,,Farmington Ave and Ridgewood Rd,41.755817,-72.76216,,,,
304,,Farmington Ave and Garfield Rd,41.756619,-72.759433,,,,
305,,Farmington Ave and Wardwell Rd,41.757324,-72.757095,,,,
306,,Farmington Ave and Lemay St,41.758127,-72.754393,,,,
307,,Farmington Ave and Riggs Ave,41.758894,-72.751812,,,,
308,,Farmington Ave and Four Mile Rd,41.759599,-72.749449,,,,
309,,Farmington Ave and Opp Walden St,41.760517,-72.746395,,,,
310,,Farmington Ave and Second Time Around,41.761507,-72.743159,,,,
311,,Starkel Rd and Starkel Library,41.787052,-72.744995,,,,
312,,N Main St and Lawler Rd,41.781797,-72.746625,,,,
